nome,nascimento,valor,email
Cliente 01,25/05/1985,42.42,cliente01@teste.com.br
Cliente 02,04/05/1973,153.73,cliente02@teste.com.br
Cliente 03,20/08/1977,282.11,cliente03@teste.com.br
Cliente 04,31/10/1981,967.29,cliente04@teste.com.br
Cliente 05,18/11/1984,835.39,cliente05@teste.com.br
Cliente 06,09/10/1985,335.52,cliente06@teste.com.br
Cliente 07,12/05/1990,373.86,cliente07@teste.com.br
Cliente 08,05/10/1992,908.19,cliente08@teste.com.br
Cliente 09,02/04/1998,943.71,cliente09@teste.com.br
Cliente 10,07/06/2002,410.67,cliente10@teste.com.br
Cliente 11,07/06/2002,410.67,cliente11@teste.com.br
Cliente 12,07/06/2002,410.67,cliente12@teste.com.br
Cliente 13,07/06/2002,410.67,cliente13@teste.com.br
Cliente 14,07/06/2002,410.67,cliente14@teste.com.br
Cliente 15,07/06/2002,410.67,cliente15@teste.com.br
Cliente 16,07/06/2002,410.67,cliente16@teste.com.br
Cliente 17,07/06/2002,410.67,cliente17@teste.com.br
Cliente 18,07/06/2002,410.67,cliente18@teste.com.br
Cliente 19,07/06/2002,410.67,cliente19@teste.com.br
Cliente 20,07/06/2002,410.67,cliente20@teste.com.br
Cliente 21,08/08/1993,318.42,cliente21@teste.com.br
Cliente 22,06/04/1988,55.16,cliente22@teste.com.br
Cliente 23,24/05/1970,437.56,cliente23@teste.com.br
Cliente 24,07/11/1985,74.33,cliente24@teste.com.br
Cliente 25,25/03/1991,103.88,cliente25@teste.com.br
Cliente 26,18/09/1987,96.72,cliente26@teste.com.br
Cliente 27,03/07/1994,183.01,cliente27@teste.com.br
Cliente 28,29/10/1972,342.79,cliente28@teste.com.br
Cliente 29,01/08/1981,57.87,cliente29@teste.com.br
Cliente 30,20/02/1975,182.55,cliente30@teste.com.br
Cliente 31,09/11/1992,243.98,cliente31@teste.com.br
Cliente 32,12/06/1979,110.76,cliente32@teste.com.br
Cliente 33,14/07/1988,287.91,cliente33@teste.com.br
Cliente 34,19/04/1995,389.76,cliente34@teste.com.br
Cliente 35,15/09/1986,59.34,cliente35@teste.com.br
Cliente 36,07/11/1991,43.78,cliente36@teste.com.br
Cliente 37,16/08/1972,118.64,cliente37@teste.com.br
Cliente 38,08/05/1980,83.22,cliente38@teste.com.br
Cliente 39,09/12/1996,75.87,cliente39@teste.com.br
Cliente 40,12/07/1977,96.43,cliente40@teste.com.br
Cliente 41,21/04/1990,52.77,cliente41@teste.com.br
Cliente 42,14/03/1985,113.31,cliente42@teste.com.br
Cliente 43,18/12/1978,85.44,cliente43@teste.com.br
Cliente 44,23/11/1994,41.66,cliente44@teste.com.br
Cliente 45,30/06/1971,131.99,cliente45@teste.com.br
Cliente 46,20/09/1993,109.87,cliente46@teste.com.br
Cliente 47,29/10/1981,77.44,cliente47@teste.com.br
Cliente 48,01/02/1974,104.23,cliente48@teste.com.br
Cliente 49,11/07/1992,66.78,cliente49@teste.com.br
Cliente 50,27/04/1979,98.32,cliente50@teste.com.br
Cliente 51,10/01/1995,54.55,cliente51@teste.com.br
Cliente 52,04/08/1987,89.33,cliente52@teste.com.br
Cliente 53,24/09/1975,121.21,cliente53@teste.com.br
Cliente 54,08/06/1980,65.98,cliente54@teste.com.br
Cliente 55,22/05/1999,49.43,cliente55@teste.com.br
Cliente 56,19/02/1973,135.76,cliente56@teste.com.br
Cliente 57,02/01/1984,72.78,cliente57@teste.com.br
Cliente 58,06/03/1996,91.21,cliente58@teste.com.br
Cliente 59,09/08/1974,56.44,cliente59@teste.com.br
Cliente 60,17/11/1990,106.87,cliente60@teste.com.br
Cliente 61,26/06/1976,88.33,cliente61@teste.com.br
Cliente 62,14/09/1988,43.44,cliente62@teste.com.br
Cliente 63,20/07/1992,68.99,cliente63@teste.com.br
Cliente 64,13/05/1979,97.65,cliente64@teste.com.br
Cliente 65,26/04/1985,52.88,cliente65@teste.com.br
Cliente 66,05/12/1977,118.67,cliente66@teste.com.br
Cliente 67,28/10/1997,84.21,cliente67@teste.com.br
Cliente 68,16/03/1982,112.54,cliente68@teste.com.br
Cliente 69,03/09/1970,90.43,cliente69@teste.com.br
Cliente 70,22/12/1991,72.34,cliente70@teste.com.br
Cliente 71,12/08/1985,87.21,cliente71@teste.com.br
Cliente 72,17/02/1973,131.11,cliente72@teste.com.br
Cliente 73,01/07/1995,60.87,cliente73@teste.com.br
Cliente 74,14/04/1984,104.32,cliente74@teste.com.br
Cliente 75,25/09/1978,82.76,cliente75@teste.com.br
Cliente 76,20/05/1993,47.88,cliente76@teste.com.br
Cliente 77,16/06/1979,118.11,cliente77@teste.com.br
Cliente 78,05/11/1988,99.99,cliente78@teste.com.br
Cliente 79,28/04/1990,63.33,cliente79@teste.com.br
Cliente 80,11/01/1981,92.22,cliente80@teste.com.br
Cliente 81,08/10/1992,56.54,cliente81@teste.com.br
Cliente 82,19/11/1975,126.11,cliente82@teste.com.br
Cliente 83,06/01/1987,68.44,cliente83@teste.com.br
Cliente 84,23/08/1996,80.76,cliente84@teste.com.br
Cliente 85,27/07/1982,53.21,cliente85@teste.com.br
Cliente 86,02/03/1977,109.43,cliente86@teste.com.br
Cliente 87,13/09/1994,92.99,cliente87@teste.com.br
Cliente 88,10/06/1980,77.87,cliente88@teste.com.br
Cliente 89,21/05/1971,121.11,cliente89@teste.com.br
Cliente 90,04/08/1995,65.77,cliente90@teste.com.br
Cliente 91,29/12/1988,99.99,cliente91@teste.com.br
Cliente 92,16/01/1982,56.22,cliente92@teste.com.br
Cliente 93,07/07/1993,126.76,cliente93@teste.com.br
Cliente 94,19/10/1976,80.21,cliente94@teste.com.br
Cliente 95,15/03/1992,107.43,cliente95@teste.com.br
Cliente 96,01/02/1979,88.54,cliente96@teste.com.br
Cliente 97,27/06/1987,49.99,cliente97@teste.com.br
Cliente 98,03/04/1974,131.11,cliente98@teste.com.br
Cliente 99,14/09/1998,95.77,cliente99@teste.com.br
Cliente 100,20/12/1984,74.44,cliente100@teste.com.br
